@relation Dataset_Lbph
@attribute L numeric
@attribute b numeric
@attribute ph numeric
@attribute Class {'0','14','7'}
@data
51.3,14.7,5.74,'14'
54.5,13.1,5.7,'14'
54.4,14.5,5.63,'14'
54,12.7,5.8,'14'
55.9,16.4,5.72,'14'
51.8,13.2,5.96,'14'
55.3,12.2,5.98,'14'
55.9,12.2,5.75,'14'
55.1,13.8,5.76,'14'
53.4,13.9,5.7,'14'
54.2,13.5,5.88,'14'
52.3,17.3,5.7,'14'
54.1,13.2,5.7,'14'
54.6,16,5.7,'14'
55.4,13.1,5.98,'14'
50.3,15.6,5.8,'14'
53.2,12,6.02,'14'
56.5,14.2,5.58,'14'
54,13.5,6.01,'14'
51.9,12.2,5.77,'14'
54.2,15.5,5.71,'14'
54.5,13.7,5.68,'14'
50.7,11,5.86,'14'
51.4,14.3,5.83,'14'
54.4,14.2,5.7,'14'
52,11.1,5.9,'14'
54.3,14.4,5.84,'14'
54.9,12.7,5.82,'14'
52.1,12.6,5.9,'14'
54.7,13.5,5.89,'14'
54.1,15.4,5.77,'14'
52.4,14.7,5.53,'14'
52.7,12.3,5.63,'14'
56.6,16.4,5.61,'14'
56.2,14.5,5.67,'14'
54.9,13.3,5.69,'14'
53.2,12.5,5.8,'14'
51.9,13.2,5.83,'14'
51.1,12,5.7,'14'
52.7,14.4,5.84,'14'
50.6,10.1,5.87,'14'
56,16.2,5.68,'14'
51.6,13.1,5.82,'14'
55.8,17.9,5.62,'14'
54.4,16,5.81,'14'
54.1,15.3,5.59,'14'
53.4,14.7,5.88,'14'
52.7,15.5,5.8,'14'
54.7,13.5,5.89,'14'
54.9,12.7,5.82,'14'
54.3,14.4,5.84,'14'
51.9,13.2,5.83,'14'
50.6,10.1,5.87,'14'
53.2,12.5,5.8,'14'
52.1,12.6,5.9,'14'
54.9,13.3,5.69,'14'
54.1,15.4,5.77,'14'
52.3,17.3,5.7,'14'
56.5,14.2,5.58,'14'
55.4,13.1,5.98,'14'
56.6,16.4,5.61,'14'
54.5,13.1,5.7,'14'
52.7,14.4,5.84,'14'
55.9,16.4,5.72,'14'
54.1,13.2,5.7,'14'
53.2,12,6.02,'14'
55.8,17.9,5.62,'14'
52.4,14.7,5.53,'14'
53.2,12.7,5.54,'14'
52.8,16.1,5.75,'14'
51.3,14.7,5.74,'14'
51.1,12,5.7,'14'
53.4,13.9,5.7,'14'
52.7,12.3,5.63,'14'
55.9,12.2,5.75,'14'
50.7,11,5.86,'14'
54.2,13.5,5.88,'14'
51.6,13.1,5.82,'14'
54.1,15.3,5.59,'14'
54.2,15.5,5.71,'14'
56,16.2,5.68,'14'
54.5,13.7,5.68,'14'
50.3,15.6,5.8,'14'
51.8,13.2,5.96,'14'
54.4,12.6,5.8,'14'
54,13.5,6.01,'14'
54.4,16,5.81,'14'
53.4,14.7,5.88,'14'
52,11.1,5.9,'14'
54.4,14.5,5.63,'14'
