@relation Dataset_LPAPTBARS
@attribute L numeric
@attribute PAP numeric
@attribute TBARS numeric
@attribute Class {'0','14','7'}
@data
50.7,28.22,0.427,'14'
51.4,29.43,0.428,'14'
54.4,29.28,0.436,'14'
52,27.53,0.44,'14'
54.3,25.9,0.443,'14'
54.9,29.42,0.447,'14'
52.1,24.7,0.45,'14'
54.7,28,0.462,'14'
54.1,24.42,0.464,'14'
52.4,34.52,0.474,'14'
52.7,24.92,0.478,'14'
56.6,30.37,0.494,'14'
56.2,31.57,0.498,'14'
54.9,28.75,0.499,'14'
53.2,26.45,0.5,'14'
51.9,21.93,0.501,'14'
51.1,32.73,0.512,'14'
52.7,24.9,0.519,'14'
50.6,20.02,0.527,'14'
56,32.41,0.528,'14'
51.6,29.42,0.541,'14'
55.8,30.1,0.549,'14'
54.4,30.14,0.618,'14'
54.1,32.84,0.667,'14'
53.4,30.39,0.707,'14'
52.7,26.11,0.744,'14'
54.7,28,0.462,'14'
54.9,29.42,0.447,'14'
54.3,25.9,0.443,'14'
51.9,21.93,0.501,'14'
50.6,20.02,0.527,'14'
53.2,26.45,0.5,'14'
52.1,24.7,0.45,'14'
54.9,28.75,0.499,'14'
54.1,24.42,0.464,'14'
52.3,27.86,0.398,'14'
56.5,20.79,0.412,'14'
55.4,26.48,0.407,'14'
56.6,30.37,0.494,'14'
54.5,29.99,0.338,'14'
52.7,24.9,0.519,'14'
55.9,28.49,0.373,'14'
54.1,27.24,0.402,'14'
53.2,21.07,0.411,'14'
55.8,30.1,0.549,'14'
52.4,34.52,0.474,'14'
53.2,33.31,0.32,'14'
52.8,33.04,0.32,'14'
51.3,29.02,0.333,'14'
51.1,32.73,0.512,'14'
53.4,23.58,0.393,'14'
52.7,24.92,0.478,'14'
55.9,31.6,0.387,'14'
50.7,28.22,0.427,'14'
54.2,22.69,0.396,'14'
51.6,29.42,0.541,'14'
54.1,32.84,0.667,'14'
54.2,28.43,0.422,'14'
56,32.41,0.528,'14'
54.5,26.36,0.423,'14'
50.3,30.4,0.408,'14'
51.8,24.73,0.38,'14'
54.4,33.47,0.277,'14'
54,28.22,0.418,'14'
54.4,30.14,0.618,'14'
53.4,30.39,0.707,'14'
52,27.53,0.44,'14'
54.4,22.94,0.342,'14'
