@relation Carne
@attribute 'ph' real
@attribute 'L1' real
@attribute 'L2' real
@attribute 'L3' real
@attribute 'XL' real
@attribute 'a1' real
@attribute 'a2' real
@attribute 'a3' real
@attribute 'Xa' real
@attribute 'b1' real
@attribute 'b2' real
@attribute 'b3' real
@attribute 'Xb' real
@attribute 'PAP' real
@attribute 'TMP' real
@attribute 'Type' { 'n14', '14'}
@data
5.90,50.0,49.5,47.5,49.0,3.9,9.2,5.0,6.0,9.8,12.5,9.3,10.5,24.55,0.516,n14
5.75,56.4,54.3,55.3,55.3,5.3,5.5,4.2,5.0,15.0,14.5,13.2,14.2,25.23,0.316,n14
5.95,49.3,49.3,50.6,49.7,5.5,4.2,6.6,5.4,11.5,11.0,12.5,11.7,28.14,0.276,n14
5.72,46.9,47.9,52.7,49.2,4.2,5.3,8.0,5.8,10.3,11.0,14.4,11.9,25.20,0.336,n14
5.82,50.2,54.9,53.1,52.7,3.2,5.0,5.8,4.7,10.1,12.7,13.0,11.9,27.91,0.400,n14
5.77,46.9,50.6,48.8,48.8,4.4,6.0,7.5,6.0,10.8,13.1,12.5,12.1,26.79,0.416,n14
5.77,50.0,55.4,54.7,53.4,6.4,9.5,6.6,7.5,14.1,17.6,16.8,16.2,29.42,0.432,n14
5.71,47.4,52.9,53.4,51.2,4.7,7.8,6.8,6.4,11.8,16.5,16.0,14.8,29.43,0.478,n14
5.88,51.5,50.7,47.6,49.9,5.8,6.1,3.4,5.1,12.8,12.7,9.4,11.6,19.64,0.361,n14
5.73,53.5,53.6,53.8,53.6,5.5,5.1,6.9,5.8,14.8,15.0,14.6,14.8,22.54,0.495,n14
5.75,52.6,51.7,53.0,52.4,6.5,7.9,7.3,7.2,16.3,15.3,15.3,15.6,27.79,0.361,n14
5.58,55.5,54.1,55.7,55.1,4.2,4.7,4.3,4.4,16.0,14.1,14.6,14.9,21.43,0.467,n14
5.60,48.9,52.4,51.7,51.0,4.2,5.4,3.7,4.4,11.1,12.9,12.2,12.1,29.56,0.546,n14
5.61,48.9,46.0,51.6,48.8,8.7,6.4,7.0,7.4,14.6,11.3,14.6,13.5,28.16,0.486,n14
5.79,49.6,52.7,54.5,52.3,5.2,3.8,4.7,4.6,11.5,12.0,13.0,12.2,25.89,0.431,n14
5.75,47.4,51.2,46.0,48.2,7.9,5.9,10.5,8.1,13.1,13.7,12.8,13.2,25.93,0.442,n14
5.88,46.0,49.2,49.8,48.3,14.1,5.3,2.5,7.3,10.2,12.1,10.0,10.8,31.07,0.331,n14
