@relation 'Base de dados - Análises tradicionais'

@attribute L numeric
@attribute a numeric
@attribute b numeric
@attribute PAP numeric
@attribute ph numeric
@attribute TBARS numeric
@attribute Dia {0,7,14}

@data
52.1,4.9,13.4,28.89,5.73,0.628,7
53.9,4.5,13.3,27.67,5.69,0.584,7
52.4,5.4,14.4,23.19,5.94,0.39,7
51,5.3,12.4,27.82,5.89,0.321,7
51.9,3.9,11.1,29.55,5.78,0.308,7
50.7,5.5,12.5,27.08,5.71,0.38,7
53.9,4.7,13.5,23.59,5.71,0.573,7
51,2.6,10.8,32.29,5.79,0.419,7
50.4,4.1,10.5,25.54,5.73,0.409,7
55.8667,7.23,13.7,30.6375,5.81,0.28643,7
55,4.73,12.0667,31.1523,5.62,0.47938,7
57.9333,2.77,11.4,27.4352,5.8,0.54638,7
55.4333,7.07,13.4333,30.3123,5.57,0.44856,7
56.6667,5.33,12.3,29.1576,5.61,0.43476,7
54.4,4.97,12.0333,29.0067,5.56,0.50076,7
54.9333,6,12.0333,27.5614,5.64,0.57825,7
56.4333,4.2,12.5,28.6314,5.83,0.41289,7
54.4333,6.7,13.3333,26.7719,5.38,0.49358,7
55.2,3.23,10.8667,29.0053,5.59,0.38993,7
55.1,7.6,13.6333,30.1848,5.55,0.4459,7
54.8333,5.3,11.7667,27.0712,5.7,0.41843,7
54.9,6.77,13.0333,28.3012,5.61,0.36119,7
53.5,6.5,12.6,31.6185,5.58,0.45815,7
57.2,5.5,13.0333,24.443,5.71,0.3314,7
56.7667,6.3,13.9333,26.9772,5.77,0.43923,7
53.5333,4.43,11,30.1845,5.59,0.36647,7
52.4333,4.67,10.4,28.9747,5.48,0.39188,7
56.3667,3.23,11.4667,30.5987,5.5,0.451,7
54.5,3.77,10.7667,28.849,5.53,0.39857,7
51.3667,6.57,11.2333,29.8353,5.54,0.32075,7
57.0667,6.07,13.2,32.0173,5.54,0.46218,7
53.6,5.63,11.7,31.9862,5.49,0.34218,7
48.3333,5.7,9.9667,26.4581,5.57,0.55523,7
54.1333,4.67,11.9667,30.2698,5.54,0.5124,7
56.7667,6.4,13.4,26.7404,5.52,0.31043,7
50.8667,4.67,11.0333,30.7888,5.53,0.28493,7
50.6667,5.03,10.7,32.7711,5.41,0.38316,7
52.6667,5.23,11.5333,32.4374,5.52,0.41049,7
52.1667,5.13,11.6333,28.2671,5.52,0.36181,7
53.7333,2.93,10.5333,31.4931,5.55,0.52412,7
50.1,3.4,9.3333,27.518,5.53,0.42572,7
50.8333,4.87,10.4667,31.8279,5.49,0.44806,7
53.4,4.7,11.7,31.4562,5.52,0.5048,7
57,2.7,10.3,30.2239,5.52,0.34784,7
55.5667,5.5,12.1,30.4339,5.56,0.40825,7
56.2333,4.57,12,28.1938,5.52,0.36771,7
52,3.73,10.6333,31.4806,5.48,0.45853,7
56.6,3.53,11.9667,29.1795,5.49,0.37668,7
55.7,4.17,11.4667,31.4844,5.52,0.63348,7
54.7667,5.77,14,29.432,5.49,0.56509,7
56.4667,3.33,11.7667,26.739,5.5,0.60583,7
54.5333,4.83,11.7667,28.5371,5.52,0.4617,7
58.8667,4.57,13.9667,28.3361,5.52,0.29233,7
55.6333,3.1,10.1667,27.5278,5.56,0.29717,7
56.4667,6.13,12.7333,26.7739,5.51,0.47396,7
55.8667,4.63,12.8667,29.4115,5.54,0.3377,7
51.8667,6.97,10.0667,25.6714,5.51,0.61664,7
54.9667,4.37,11.7,32.8322,5.73,0.35771,7
54.3333,6.8,12.5333,26.7198,5.52,0.30954,7
54.0333,3.47,10.5333,27.6313,5.8,0.27392,7
56.2667,6.57,14.1333,27.917,5.49,0.36088,7
54.6,2.8,9.5,28.3792,5.56,0.44659,7
55.1,7.6,15.1,24.92,5.77,0.488,14
54.2,6.2,15.3,32.29,5.73,0.669,14
51,5.4,13.9,28.5,5.86,0.467,14
56.7,6.5,16.1,25.48,5.72,0.583,14
53,7.3,16.5,30.03,5.52,0.57,14
52.4,7.9,14.7,34.11,5.6,0.65,14
55.9,5.8,14,24.8,5.68,0.737,14
54.1,6.4,13.3,27.57,5.64,0.631,14
53.3,7.6,16.2,27.36,5.69,0.467,14
55,6.9,15.4,26.91,5.7,0.657,14
52.7,7.5,15.5,26.11,5.8,0.744,14
54.7,3.8,13.5,28,5.89,0.462,14
54.9,4.5,12.7,29.42,5.82,0.447,14
54.4,5.2,14.2,29.28,5.7,0.436,14
54.3,5.3,14.4,25.9,5.84,0.443,14
51.9,6.1,13.2,21.93,5.83,0.501,14
51.5,6.8,13.6,31.67,5.72,0.62,14
50.6,4.3,10.1,20.02,5.87,0.527,14
55.3,3.5,12.2,24.95,5.98,0.381,14
56,6.4,15.1,29.01,5.66,0.364,14
53.5,4,11.9,27.99,5.91,0.33,14
53.2,5.7,12.5,26.45,5.8,0.5,14
54,4.2,12.7,22.78,5.8,0.367,14
52.1,6.3,12.6,24.7,5.9,0.45,14
54.9,4.4,13.3,28.75,5.69,0.499,14
54.6,7.2,16.1,24.84,5.71,0.566,14
57.3,5.3,13.9,26.53,5.71,0.518,14
53.2,7.5,15.6,25.93,5.82,0.441,14
53.2,6.2,14.6,26.59,5.87,0.441,14
54.1,6.7,15.4,24.42,5.77,0.464,14
56.5,4.6,14.2,20.79,5.58,0.412,14
55.4,4.1,13.1,26.48,5.98,0.407,14
56.6,8.3,16.4,30.37,5.61,0.494,14
54.5,6.8,13.1,29.99,5.7,0.338,14
52.7,7.7,14.4,24.9,5.84,0.519,14
55.9,5.8,16.4,28.49,5.72,0.373,14
55.1,7.6,16.3,24.8,5.71,0.475,14
54.1,6.3,13.2,27.24,5.7,0.402,14
53.2,4.6,12,21.07,6.02,0.411,14
51.8,5.3,13.4,28.39,5.78,0.501,14
52.4,6.8,14.7,34.52,5.53,0.474,14
53.2,5.5,12.7,33.31,5.54,0.32,14
51,6.3,13.9,32.33,5.74,0.4,14
52.8,5.5,16.1,33.04,5.75,0.32,14
51.3,5.3,14.7,29.02,5.74,0.333,14
51.1,5,12,32.73,5.7,0.512,14
53.4,5.9,13.9,23.58,5.7,0.393,14
52.7,7.8,12.3,24.92,5.63,0.478,14
53.2,5.8,12.3,25.65,5.8,0.745,14
51.8,7.7,13.1,30.01,5.84,0.397,14
55.9,4.1,12.2,31.6,5.75,0.387,14
50.7,4.8,11,28.22,5.86,0.427,14
54.2,6.7,13.5,22.69,5.88,0.396,14
53.8,4.9,13.2,28.5,5.93,0.451,14
53.5,5.2,14.3,25.89,5.85,0.425,14
55.3,5.2,15.4,35.35,5.72,0.406,14
54.6,7.6,16,31.26,5.7,0.404,14
54,6.7,14.1,30.2,5.66,0.461,14
51.4,6.8,14.3,29.43,5.83,0.428,14
50,7.6,16.2,27.82,5.68,0.418,14
52.3,6.2,14.1,32.34,5.73,0.432,14
53.3,7.1,15.6,23.3,5.73,0.414,14
51.6,5.7,13.1,29.42,5.82,0.541,14
54.1,5.4,15.3,32.84,5.59,0.667,14
54.2,6.6,15.5,28.43,5.71,0.422,14
56,6.1,16.2,32.41,5.68,0.528,14
54.5,4.2,13.7,26.36,5.68,0.423,14
55.6,7.1,16.4,24.35,5.68,0.449,14
51.9,5.5,12.2,27.17,5.77,0.419,14
52.8,7.5,15.5,29.07,5.83,0.406,14
51.8,6.8,13.2,24.73,5.96,0.38,14
54.4,5.6,15,32.11,5.8,0.438,14
54.4,4.5,12.6,33.47,5.8,0.277,14
54,4.9,13.5,28.22,6.01,0.418,14
54.4,6,16,30.14,5.81,0.618,14
56.2,5,14.5,31.57,5.67,0.498,14
52,7.2,15.5,32.59,5.55,0.443,14
52.3,5.3,14.1,23.63,5.8,0.38,14
53.4,6.5,14.7,30.39,5.88,0.707,14
52,3.9,11.1,27.53,5.9,0.44,14
54.4,4.7,14.5,22.94,5.63,0.342,14
55.1,5.8,13.8,25.41,5.76,0.388,14
54.3,4.3,12.3,23.67,5.92,0.407,14
52.2,8.1,16.1,30.68,5.51,0.631,14
55,5.8,14,31.64,6.02,0.334,14
55.4333,5.87,14.6333,24.0545,5.64,0.53215,14
53.8667,6.4,12.3667,27.6208,5.69,0.59842,14
55.5,4.67,11.0667,30.2285,5.59,0.50601,14
54.4,5.1,12.1333,24.0867,6.06,0.56406,14
54.3667,6.17,12.7333,22.5505,5.67,0.48331,14
52.8333,5.5,10.8,32.5843,5.49,0.54753,14
55.9333,4.07,11.9,32.274,5.83,0.34511,14
52.6,5.53,11.7333,24.0165,5.91,0.68244,14
53.7667,5.17,11.7667,29.1579,5.77,0.48449,14
54.3,3.33,12.2667,22.1215,5.55,0.60517,14
51.7333,6.4,11.7667,28.7408,5.64,0.39295,14
51.7333,6.5,11.7,31.3187,6.06,0.47891,14
51.9667,5.33,11.2,28.4184,6.05,0.76925,14
54,3.33,10.6667,28.6776,5.99,0.66267,14
53.8667,6.5,11.6667,33.5103,5.67,0.71368,14
52.1333,4.93,10.8,26.7341,5.7,0.73328,14
54.2333,5.3,11.3667,27.7629,5.63,0.57125,14
54.1667,5.57,10.7667,30.6445,5.53,0.56631,14
51.2667,6.2,10,33.3366,5.69,0.81062,14
51.7333,6.4,11.7667,25.2886,5.82,0.42215,14
54.5333,5.9,11.4,29.4349,5.58,0.59827,14
51.7667,6.13,10.6333,27.5538,5.62,0.5764,14
54.1,5.67,10.8667,32.3653,5.5,0.53575,14
52.6,5.53,11.7333,26.0034,5.8,0.5474,14
55.6333,4.47,12.3,30.0322,5.86,0.56508,14
55.5,3.77,11.0333,33.7346,5.77,0.36596,14
52.7,4.97,11.7,21.4169,5.71,0.52343,14
55.9333,4.07,11.9,24.2686,5.74,0.30816,14
52.4,5.13,11.3667,24.4374,5.74,0.71056,14
54.0333,3.83,11.8,23.134,5.64,0.76627,14
52.8333,5.5,10.8,23.6081,5.56,0.78848,14
51.4667,5.3,10.4333,29.2502,5.57,0.62575,14
55.3333,5.07,12.4333,30.9573,5.62,0.51004,14
55.6,6.8,12.1,31.1529,5.5,0.67874,14
53.1,4.53,11.6667,24.9302,5.98,0.64359,14
54.3667,6.17,12.7333,23.2797,5.9,0.53412,14
55.433333,5.87,14.6333,22.545061,5.6,0.39417,14
51.7333,6.5,11.7,19.6169,6.02,0.81125,14
55.0333,3,11.6667,31.9751,5.69,0.28349,14
54,4.77,11.5333,30.9822,5.92,0.63126,14
53.3,5.27,12.0667,24.685,5.72,0.45953,14
52.1667,6.47,12.3,31.7708,5.7,0.56748,14
56.0333,3.23,11.4,28.7901,5.8,0.34042,14
53.7667,5.17,11.7667,32.0547,5.91,0.71867,14
